chr11	0	chr11	0	1
chr16	0	chr16	0	2
chr17	0	chr17	0	2
chr3	0	chr3	0	2
chr9	0	chr9	0	1
chr1	1000000	chr1	1000000	3
chr16	1000000	chr16	1000000	1
chr19	1000000	chr19	1000000	1
chr3	0	chr3	1000000	4
chr3	1000000	chr3	1000000	1
chr7	1000000	chr7	1000000	1
chr9	1000000	chr9	1000000	1
chr10	1000000	chr10	2000000	2
chr12	2000000	chr12	2000000	1
chr16	1000000	chr16	2000000	2
chr17	2000000	chr17	2000000	2
chr18	2000000	chr18	2000000	2
chr19	2000000	chr19	2000000	1
chr2	1000000	chr2	2000000	1
chr20	2000000	chr20	2000000	1
chr3	1000000	chr3	2000000	2
chr3	2000000	chr3	2000000	1
chr6	2000000	chr6	2000000	1
chr9	1000000	chr9	2000000	1
chr17	2000000	chr17	3000000	2
chr17	3000000	chr17	3000000	1
chr19	3000000	chr19	3000000	1
chr2	3000000	chr2	3000000	2
chr5	2000000	chr5	3000000	1
chr5	3000000	chr5	3000000	2
chr6	3000000	chr6	3000000	1
chr7	3000000	chr7	3000000	2
chr8	2000000	chr8	3000000	1
chr8	3000000	chr8	3000000	1
chr9	2000000	chr9	3000000	1
chr9	3000000	chr9	3000000	1
chr1	4000000	chr1	4000000	2
chr16	4000000	chr16	4000000	1
chr18	4000000	chr18	4000000	2
chr20	4000000	chr20	4000000	1
chr4	4000000	chr4	4000000	1
chr6	2000000	chr6	4000000	1
chr6	4000000	chr6	4000000	2
chr8	3000000	chr8	4000000	2
chr1	3000000	chr1	5000000	1
chr1	4000000	chr1	5000000	1
chr1	5000000	chr1	5000000	1
chr11	5000000	chr11	5000000	1
chr17	5000000	chr17	5000000	1
chr18	5000000	chr18	5000000	3
chr19	5000000	chr19	5000000	1
chr20	4000000	chr20	5000000	2
chr3	5000000	chr3	5000000	4
chr4	3000000	chr4	5000000	1
chr4	5000000	chr4	5000000	1
chr6	5000000	chr6	5000000	1
chr9	1000000	chr9	5000000	1
chrX	4000000	chrX	5000000	1
chr10	4000000	chr10	6000000	1
chr11	6000000	chr11	6000000	1
chr18	6000000	chr18	6000000	2
chr20	6000000	chr20	6000000	1
chr3	5000000	chr3	6000000	3
chr6	6000000	chr6	6000000	1
chr8	6000000	chr8	6000000	1
chr9	4000000	chr9	6000000	1
chr9	5000000	chr9	6000000	1
chr12	7000000	chr12	7000000	1
chr17	7000000	chr17	7000000	2
chr18	7000000	chr18	7000000	1
chr2	6000000	chr2	7000000	1
chr3	6000000	chr3	7000000	1
chr5	4000000	chr5	7000000	1
chr5	7000000	chr5	7000000	1
chr6	7000000	chr6	7000000	1
chr7	7000000	chr7	7000000	1
chr10	8000000	chr10	8000000	1
chr11	8000000	chr11	8000000	2
chr12	5000000	chr12	8000000	1
chr16	7000000	chr16	8000000	1
chr18	7000000	chr18	8000000	1
chr18	8000000	chr18	8000000	2
chr2	7000000	chr2	8000000	1
chr3	4000000	chr3	8000000	1
chr3	7000000	chr3	8000000	1
chr3	8000000	chr3	8000000	1
chr4	8000000	chr4	8000000	1
chr5	7000000	chr5	8000000	1
chr5	8000000	chr5	8000000	2
chr6	7000000	chr6	8000000	1
chr7	3000000	chr7	8000000	1
chr9	8000000	chr9	8000000	1
chr1	9000000	chr1	9000000	1
chr11	9000000	chr11	9000000	2
chr12	8000000	chr12	9000000	2
chr12	9000000	chr12	9000000	2
chr16	9000000	chr16	9000000	3
chr17	6000000	chr17	9000000	1
chr20	8000000	chr20	9000000	2
chr5	7000000	chr5	9000000	1
chr5	8000000	chr5	9000000	1
chr5	9000000	chr5	9000000	1
chr6	8000000	chr6	9000000	1
chrX	9000000	chrX	9000000	3
chr11	9000000	chr11	10000000	1
chr11	10000000	chr11	10000000	1
chr16	8000000	chr16	10000000	1
chr16	9000000	chr16	10000000	1
chr16	10000000	chr16	10000000	1
chr17	10000000	chr17	10000000	1
chr18	9000000	chr18	10000000	1
chr2	10000000	chr2	10000000	2
chr5	10000000	chr5	10000000	1
chr9	10000000	chr9	10000000	1
chrX	8000000	chrX	10000000	1
chrX	10000000	chrX	10000000	1
chr1	11000000	chr1	11000000	1
chr10	8000000	chr10	11000000	1
chr10	11000000	chr10	11000000	1
chr11	11000000	chr11	11000000	2
chr12	9000000	chr12	11000000	2
chr16	6000000	chr16	11000000	1
chr16	11000000	chr16	11000000	2
chr17	11000000	chr17	11000000	2
chr18	10000000	chr18	11000000	1
chr18	11000000	chr18	11000000	1
chr2	10000000	chr2	11000000	2
chr2	11000000	chr2	11000000	1
chr3	11000000	chr3	11000000	1
chr6	7000000	chr6	11000000	1
chr6	11000000	chr6	11000000	1
chr9	8000000	chr9	11000000	1
chr9	11000000	chr9	11000000	2
chrX	4000000	chrX	11000000	1
chrX	5000000	chrX	11000000	1
chrX	10000000	chrX	11000000	1
chr11	11000000	chr11	12000000	2
chr12	12000000	chr12	12000000	2
chr17	11000000	chr17	12000000	5
chr18	9000000	chr18	12000000	1
chr18	10000000	chr18	12000000	2
chr18	12000000	chr18	12000000	2
chr19	12000000	chr19	12000000	2
chr2	11000000	chr2	12000000	2
chr2	12000000	chr2	12000000	2
chr20	10000000	chr20	12000000	1
chr3	10000000	chr3	12000000	1
chr3	12000000	chr3	12000000	1
chr5	11000000	chr5	12000000	1
chr5	12000000	chr5	12000000	1
chr7	12000000	chr7	12000000	1
chrX	12000000	chrX	12000000	1
chr10	13000000	chr10	13000000	1
chr11	13000000	chr11	13000000	1
chr12	13000000	chr12	13000000	1
chr17	12000000	chr17	13000000	1
chr19	13000000	chr19	13000000	3
chr2	13000000	chr2	13000000	2
chr20	10000000	chr20	13000000	1
chr20	13000000	chr20	13000000	4
chr5	12000000	chr5	13000000	1
chr5	13000000	chr5	13000000	2
chr7	13000000	chr7	13000000	1
chr9	10000000	chr9	13000000	1
chr16	14000000	chr16	14000000	2
chr17	11000000	chr17	14000000	2
chr17	13000000	chr17	14000000	1
chr18	13000000	chr18	14000000	1
chr2	13000000	chr2	14000000	1
chr20	1000000	chr20	14000000	1
chr3	13000000	chr3	14000000	2
chr3	14000000	chr3	14000000	1
chr4	14000000	chr4	14000000	1
chr5	14000000	chr5	14000000	1
chr7	13000000	chr7	14000000	4
chr7	14000000	chr7	14000000	1
chr9	13000000	chr9	14000000	1
chrX	12000000	chrX	14000000	1
chr11	15000000	chr11	15000000	1
chr12	14000000	chr12	15000000	1
chr16	4000000	chr16	15000000	2
chr17	8000000	chr17	15000000	1
chr17	15000000	chr17	15000000	1
chr19	3000000	chr19	15000000	1
chr19	14000000	chr19	15000000	2
chr2	14000000	chr2	15000000	2
chr2	15000000	chr2	15000000	3
chr20	15000000	chr20	15000000	1
chr5	15000000	chr5	15000000	3
chr7	14000000	chr7	15000000	1
chr7	15000000	chr7	15000000	4
chr8	15000000	chr8	15000000	2
chrX	15000000	chrX	15000000	1
chr1	15000000	chr1	16000000	1
chr10	16000000	chr10	16000000	2
chr12	16000000	chr12	16000000	1
chr16	15000000	chr16	16000000	2
chr17	15000000	chr17	16000000	1
chr17	16000000	chr17	16000000	2
chr19	15000000	chr19	16000000	1
chr2	11000000	chr2	16000000	1
chr2	16000000	chr2	16000000	3
chr20	14000000	chr20	16000000	2
chr20	15000000	chr20	16000000	1
chr21	16000000	chr21	16000000	2
chr3	15000000	chr3	16000000	1
chr4	14000000	chr4	16000000	1
chr5	14000000	chr5	16000000	1
chr5	16000000	chr5	16000000	1
chr7	13000000	chr7	16000000	1
chr8	15000000	chr8	16000000	1
chr8	16000000	chr8	16000000	2
chr9	15000000	chr9	16000000	1
chr9	16000000	chr9	16000000	1
chrX	16000000	chrX	16000000	3
chr11	17000000	chr11	17000000	2
chr16	11000000	chr16	17000000	1
chr16	17000000	chr16	17000000	1
chr19	17000000	chr19	17000000	1
chr21	17000000	chr21	17000000	2
chr22	17000000	chr22	17000000	1
chr4	15000000	chr4	17000000	1
chr4	17000000	chr4	17000000	1
chr5	7000000	chr5	17000000	1
chr5	16000000	chr5	17000000	1
chr6	17000000	chr6	17000000	1
chr7	16000000	chr7	17000000	2
chr7	17000000	chr7	17000000	2
chr8	13000000	chr8	17000000	1
chr9	16000000	chr9	17000000	2
chrX	17000000	chrX	17000000	2
chr11	17000000	chr11	18000000	1
chr11	18000000	chr11	18000000	3
chr12	15000000	chr12	18000000	1
chr12	18000000	chr12	18000000	2
chr19	18000000	chr19	18000000	2
chr21	18000000	chr21	18000000	3
chr22	18000000	chr22	18000000	1
chr3	1000000	chr3	18000000	1
chr5	3000000	chr5	18000000	2
chr5	16000000	chr5	18000000	3
chr5	18000000	chr5	18000000	1
chr6	17000000	chr6	18000000	1
chr6	18000000	chr6	18000000	1
chr7	18000000	chr7	18000000	1
chr8	14000000	chr8	18000000	1
chr8	17000000	chr8	18000000	1
chr8	18000000	chr8	18000000	3
chrX	18000000	chrX	18000000	2
chr1	18000000	chr1	19000000	1
chr1	19000000	chr1	19000000	1
chr12	19000000	chr12	19000000	1
chr16	5000000	chr16	19000000	1
chr17	19000000	chr17	19000000	1
chr2	19000000	chr2	19000000	4
chr20	19000000	chr20	19000000	1
chr21	18000000	chr21	19000000	1
chr21	19000000	chr21	19000000	3
chr22	18000000	chr22	19000000	1
chr22	19000000	chr22	19000000	1
chr3	19000000	chr3	19000000	1
chr4	18000000	chr4	19000000	2
chr5	19000000	chr5	19000000	3
chr6	19000000	chr6	19000000	2
chr8	19000000	chr8	19000000	1
chr9	16000000	chr9	19000000	1
chr9	18000000	chr9	19000000	1
chrX	18000000	chrX	19000000	2
chr10	19000000	chr10	20000000	1
chr10	20000000	chr10	20000000	1
chr11	19000000	chr11	20000000	1
chr11	20000000	chr11	20000000	2
chr12	12000000	chr12	20000000	2
chr12	20000000	chr12	20000000	1
chr17	20000000	chr17	20000000	1
chr2	19000000	chr2	20000000	1
chr21	19000000	chr21	20000000	2
chr4	17000000	chr4	20000000	1
chr4	20000000	chr4	20000000	2
chr5	18000000	chr5	20000000	2
chr5	19000000	chr5	20000000	1
chr9	20000000	chr9	20000000	2
chrX	20000000	chrX	20000000	1
chr1	20000000	chr1	21000000	2
chr1	21000000	chr1	21000000	1
chr11	21000000	chr11	21000000	1
chr12	21000000	chr12	21000000	2
chr13	21000000	chr13	21000000	2
chr14	20000000	chr14	21000000	1
chr18	18000000	chr18	21000000	1
chr18	21000000	chr18	21000000	4
chr2	21000000	chr2	21000000	1
chr20	21000000	chr20	21000000	3
chr21	19000000	chr21	21000000	1
chr21	20000000	chr21	21000000	3
chr3	5000000	chr3	21000000	3
chr5	21000000	chr5	21000000	1
chr7	20000000	chr7	21000000	2
chr8	18000000	chr8	21000000	1
chrX	17000000	chrX	21000000	1
chrX	20000000	chrX	21000000	3
chrX	21000000	chrX	21000000	2
chr1	21000000	chr1	22000000	2
chr1	22000000	chr1	22000000	1
chr10	22000000	chr10	22000000	1
chr11	19000000	chr11	22000000	1
chr11	22000000	chr11	22000000	2
chr12	21000000	chr12	22000000	1
chr12	22000000	chr12	22000000	1
chr19	19000000	chr19	22000000	1
chr22	22000000	chr22	22000000	2
chr3	4000000	chr3	22000000	1
chr3	22000000	chr3	22000000	2
chr5	21000000	chr5	22000000	1
chr5	22000000	chr5	22000000	1
chr6	20000000	chr6	22000000	1
chr6	21000000	chr6	22000000	1
chr6	22000000	chr6	22000000	1
chr7	21000000	chr7	22000000	1
chr9	22000000	chr9	22000000	3
chrX	21000000	chrX	22000000	3
chrX	22000000	chrX	22000000	1
chr1	23000000	chr1	23000000	1
chr10	22000000	chr10	23000000	1
chr10	23000000	chr10	23000000	1
chr14	23000000	chr14	23000000	2
chr15	22000000	chr15	23000000	1
chr16	22000000	chr16	23000000	1
chr16	23000000	chr16	23000000	1
chr2	22000000	chr2	23000000	1
chr20	19000000	chr20	23000000	1
chr20	23000000	chr20	23000000	1
chr3	6000000	chr3	23000000	1
chr3	23000000	chr3	23000000	1
chr5	21000000	chr5	23000000	1
chr6	23000000	chr6	23000000	1
chr7	23000000	chr7	23000000	1
chr8	18000000	chr8	23000000	1
chr8	22000000	chr8	23000000	1
chr8	23000000	chr8	23000000	1
chr9	22000000	chr9	23000000	1
chrX	18000000	chrX	23000000	1
chr1	24000000	chr1	24000000	2
chr12	21000000	chr12	24000000	1
chr16	24000000	chr16	24000000	2
chr2	22000000	chr2	24000000	1
chr2	24000000	chr2	24000000	3
chr4	23000000	chr4	24000000	1
chr5	23000000	chr5	24000000	2
chr5	24000000	chr5	24000000	3
chr6	22000000	chr6	24000000	1
chr6	24000000	chr6	24000000	2
chr7	13000000	chr7	24000000	2
chr7	23000000	chr7	24000000	2
chr7	24000000	chr7	24000000	2
chrX	24000000	chrX	24000000	2
chr1	25000000	chr1	25000000	2
chr11	24000000	chr11	25000000	1
chr11	25000000	chr11	25000000	2
chr12	25000000	chr12	25000000	1
chr14	24000000	chr14	25000000	2
chr14	25000000	chr14	25000000	1
chr16	24000000	chr16	25000000	1
chr2	25000000	chr2	25000000	2
chr21	24000000	chr21	25000000	2
chr21	25000000	chr21	25000000	1
chr4	23000000	chr4	25000000	1
chr5	23000000	chr5	25000000	2
chr6	25000000	chr6	25000000	2
chr7	19000000	chr7	25000000	2
chr8	25000000	chr8	25000000	2
chr9	25000000	chr9	25000000	3
chr10	26000000	chr10	26000000	1
chr11	25000000	chr11	26000000	3
chr11	26000000	chr11	26000000	4
chr14	26000000	chr14	26000000	2
chr16	25000000	chr16	26000000	1
chr18	26000000	chr18	26000000	1
chr2	25000000	chr2	26000000	1
chr21	26000000	chr21	26000000	1
chr22	26000000	chr22	26000000	1
chr3	26000000	chr3	26000000	2
chr4	25000000	chr4	26000000	1
chr4	26000000	chr4	26000000	1
chr5	26000000	chr5	26000000	1
chr7	25000000	chr7	26000000	1
chr8	26000000	chr8	26000000	2
chrX	26000000	chrX	26000000	2
chr1	26000000	chr1	27000000	1
chr1	27000000	chr1	27000000	1
chr11	27000000	chr11	27000000	1
chr13	26000000	chr13	27000000	1
chr14	23000000	chr14	27000000	1
chr14	27000000	chr14	27000000	2
chr15	26000000	chr15	27000000	1
chr16	26000000	chr16	27000000	1
chr16	27000000	chr16	27000000	2
chr17	27000000	chr17	27000000	2
chr18	25000000	chr18	27000000	1
chr18	27000000	chr18	27000000	1
chr21	26000000	chr21	27000000	1
chr21	27000000	chr21	27000000	3
